"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 02 17:12:52 CST 2022","Sat Apr 02 17:12:56 CST 2022","4194","testcase","login_test","TestLogin","","","test_01",""
"broken","Fri Apr 22 15:17:37 CST 2022","Fri Apr 22 15:17:48 CST 2022","10983","testcase.login","login_test_02","TestLogin","","","test_01[login_data6]",""
"passed","Sat Apr 02 17:12:58 CST 2022","Sat Apr 02 17:13:02 CST 2022","4268","testcase","login_test","TestLogin","","","test_02",""
"failed","Fri Apr 22 16:19:20 CST 2022","Fri Apr 22 16:19:25 CST 2022","4752","testcase.login","login_test_02","TestLogin","","","test_01[login_data3]",""
"broken","Fri Apr 22 16:19:30 CST 2022","Fri Apr 22 16:19:41 CST 2022","11222","testcase.login","login_test_02","TestLogin","","","test_01[login_data5]",""
"passed","Fri Apr 22 16:19:02 CST 2022","Fri Apr 22 16:19:06 CST 2022","3915","testcase.login","login_test_02","TestLogin","","","輸入错误賬號，错误密碼，登錄失敗",""
"broken","Fri Apr 22 16:19:27 CST 2022","Fri Apr 22 16:19:28 CST 2022","980","testcase.login","login_test_02","TestLogin","","","test_01[login_data4]",""
"passed","Fri Apr 22 14:11:41 CST 2022","Fri Apr 22 14:11:45 CST 2022","4481","testcase.login","login_test","TestLogin","","","test_01",""
"failed","Fri Apr 22 16:19:14 CST 2022","Fri Apr 22 16:19:18 CST 2022","4027","testcase.login","login_test_02","TestLogin","","","test_01[login_data2]",""
"passed","Sat Apr 02 17:13:04 CST 2022","Sat Apr 02 17:13:18 CST 2022","13833","testcase","login_test","TestLogin","","","test_03",""
"passed","Fri Apr 22 14:11:54 CST 2022","Fri Apr 22 14:12:07 CST 2022","13566","testcase.login","login_test","TestLogin","","","test_03",""
"passed","Fri Apr 22 16:19:08 CST 2022","Fri Apr 22 16:19:12 CST 2022","4020","testcase.login","login_test_02","TestLogin","","","輸入正常賬號，错误密碼，登錄失敗",""
"passed","Fri Apr 22 14:11:47 CST 2022","Fri Apr 22 14:11:52 CST 2022","4500","testcase.login","login_test","TestLogin","","","test_02",""
